Data;Produto;Categoria;Quantidade;Preço Unitário;CPF;CNPJ;Vendedor;Valor Total
05/08/2025;Camiseta;Vestuário;3;R$ 59,90;52998224725;12.345.678/0001-90;Ana Oliveira;179.7
06/08/2025;Tênis Esportivo;Calçados;1;249.90;123.456.789-09;12345678000190;Bruno Costa;24990.0
07/08/2025;Mochila;Acessórios;2;R$ 139,90;529.982.247-25;11.111.111/1111-11;Carla Ferreira;279.8
08/08/2025;Calça Jeans;Vestuário;1;119,90;11144477735;12.345.678/0001-90;Ana Oliveira;119.9
08/08/2025;Boné;Vestuário;5;R$ 39,90;;;Danilo Martins;199.5
08/08/2025;Camiseta;Vestuário;2;19.90;52998224725;12345678000190;Carla;3980.0
09/08/2025;Jaqueta;Vestuário;1;219,90;000.000.000-00;;Paulo;219.9
10/08/2025;Carteira;Acessórios;1;R$ 89,90;;12.345.678/0001-90;Mariana;89.9
11/08/2025;Meia;Vestuário;3;R$ 12,50;12345678909;;João Da Silva;37.5
12/08/2025;Mochila;Acessórios;1;29.90;52998224725;;Carla;2990.0
