data;produto;categoria;quantidade;preco_unitario;cpf;cnpj;vendedor;valor_total
02/08/2025;Camiseta;Acesórios;2.00;0.00;Inválido;Inválido;Paulo;0.00
03/08/2025;Camiseta;Acesórios;4.00;0.00;Inválido;Inválido;Karla Ferreira;0.00
04/08/2025;Pulseira;Calçados;5.00;0.00;Inválido;Inválido;Carla;0.00
05/08/2025;Carteira;Acessórios;4.00;0.00;Inválido;Inválido;Mariana;0.00
06/08/2025;Relógio;Calçados;4.00;0.00;529.982.247-25;Inválido;João Da Silva;0.00
07/08/2025;Cinto;Vestiário;5.00;0.00;Inválido;Inválido;Ana Olveira;0.00
08/08/2025;Tênis Esportivo;Calcados;1.00;0.00;Inválido;Inválido;Ana Olveira;0.00
09/08/2025;Meia;Acesórios;4.00;0.00;Inválido;Inválido;Carla Ferreira;0.00
10/08/2025;Mochila;Acessórios;4.00;0.00;529.982.247-25;Inválido;Carla Ferreira;0.00
11/08/2025;Relógio;Calçados;1.00;0.00;Inválido;Inválido;João Da Silva;0.00
12/08/2025;Jaqueta;Calssados;1.00;0.00;Inválido;Inválido;Ana Olveira;0.00
13/08/2025;Calça Jeans;Acessórios;4.00;0.00;Inválido;Inválido;Carla;0.00
14/08/2025;Carteira;Calçados;4.00;0.00;Inválido;Inválido;Ana Oliveira;0.00
15/08/2025;Boné;Acessorios;1.00;0.00;Inválido;Inválido;Carla Ferreira;0.00
16/08/2025;Carteira;Vestuário;1.00;0.00;Inválido;Inválido;Carlla;0.00
17/08/2025;Jaqueta;Calçados;3.00;0.00;Inválido;Inválido;Bruno Costa;0.00
18/08/2025;Mochila;Vestuário;1.00;0.00;529.982.247-25;Inválido;Marianna;0.00
19/08/2025;Relógio;Calssados;3.00;0.00;Inválido;Inválido;Carla Ferreira;0.00
20/08/2025;Jaqueta;Acéssorios;3.00;0.00;Inválido;Inválido;João Da Silva;0.00
21/08/2025;Calça Social;Acessórios;4.00;0.00;Inválido;Inválido;Danillo Martins;0.00
22/08/2025;Relógio;Vestuário;3.00;0.00;Inválido;Inválido;Karla Ferreira;0.00
23/08/2025;Pulseira;Calçados;1.00;0.00;529.982.247-25;Inválido;Brunno Costa;0.00
24/08/2025;Calça Social;Calçados;2.00;0.00;Inválido;Inválido;Marianna;0.00
25/08/2025;Pulseira;Calçados;3.00;0.00;529.982.247-25;Inválido;Marianna;0.00
26/08/2025;Relógio;Vestuário;5.00;0.00;Inválido;Inválido;Mariana;0.00
27/08/2025;Carteira;Acesórios;4.00;0.00;Inválido;Inválido;Carla;0.00
28/08/2025;Calça Social;Vestuário;3.00;0.00;529.982.247-25;Inválido;João Da Silva;0.00
29/08/2025;Meia;Calcados;3.00;0.00;529.982.247-25;Inválido;João Da Silva;0.00
30/08/2025;Camiseta;Vestuárioo;3.00;0.00;529.982.247-25;Inválido;Carla;0.00
31/08/2025;Calça Jeans;Vestuárioo;4.00;0.00;529.982.247-25;Inválido;Ana Oliveira;0.00
01/09/2025;Tênis Esportivo;Acessorios;2.00;0.00;Inválido;Inválido;Carlla;0.00
02/09/2025;Relógio;Acéssorios;4.00;0.00;Inválido;Inválido;Brunno Costa;0.00
03/09/2025;Tênis Esportivo;Acéssorios;1.00;0.00;529.982.247-25;Inválido;Brunno Costa;0.00
04/09/2025;Mochila;Vestuárioo;5.00;0.00;Inválido;Inválido;João Da Silva;0.00
05/09/2025;Tênis Esportivo;Vestuario;5.00;0.00;Inválido;Inválido;Carla Ferreira;0.00
06/09/2025;Jaqueta;Acessorios;1.00;0.00;529.982.247-25;Inválido;Danilo Martins;0.00
07/09/2025;Calça Jeans;Acessórios;5.00;0.00;Inválido;Inválido;Danilo Martins;0.00
08/09/2025;Meia;Vestuárioo;1.00;0.00;529.982.247-25;Inválido;Mariana;0.00
09/09/2025;Boné;Vestuário;3.00;0.00;529.982.247-25;Inválido;Danilo Martins;0.00
10/09/2025;Carteira;Calçãdos;3.00;0.00;Inválido;Inválido;João Da Silva;0.00
