DataNascimento;Produto;Categoria;Quantidade;Valor;CPF;CPF;Vendedor;Valor
12/05/2025;Camiseta;Vestuário;3;INVÁLIDO;INVÁLIDO;INVÁLIDO;Ana Oliveira;INVÁLIDO
13/05/2025;Tênis;Calçados;1;INVÁLIDO;INVÁLIDO;INVÁLIDO;Bruno Costa;INVÁLIDO
14/05/2025;Mochila;Acessórios;2;INVÁLIDO;INVÁLIDO;INVÁLIDO;Carla Ferreira;INVÁLIDO
15/05/2025;Calça Jeans;Vestuário;1;INVÁLIDO;INVÁLIDO;INVÁLIDO;Ana Oliveira;INVÁLIDO
16/05/2025;Boné;Vestuário;5;INVÁLIDO;INVÁLIDO;INVÁLIDO;Danilo Martins;INVÁLIDO
17/05/2025;Camiseta;Vestuário;2;INVÁLIDO;INVÁLIDO;INVÁLIDO;Carla Souza;INVÁLIDO
18/05/2025;Jaqueta;Vestuário;1;INVÁLIDO;INVÁLIDO;INVÁLIDO;Paulo Almeida;INVÁLIDO
19/05/2025;Carteira;Acessórios;1;INVÁLIDO;INVÁLIDO;INVÁLIDO;Mariana Santos;INVÁLIDO
20/05/2025;Meia;Vestuário;3;INVÁLIDO;INVÁLIDO;INVÁLIDO;João da Silva;INVÁLIDO
21/05/2025;Óculos;Acessórios;1;INVÁLIDO;INVÁLIDO;INVÁLIDO;Carla Souza;INVÁLIDO
22/05/2025;Camiseta;Vestuário;2;INVÁLIDO;INVÁLIDO;INVÁLIDO;Vendedor Inválido;INVÁLIDO
23/05/2025;Tênis;Calçados;2;INVÁLIDO;INVÁLIDO;INVÁLIDO;Bruno Costa;INVÁLIDO
24/05/2025;Bolsa;Acessórios;1;INVÁLIDO;INVÁLIDO;INVÁLIDO;Carla Ferreira;INVÁLIDO
25/05/2025;Shorts;Vestuário;4;INVÁLIDO;INVÁLIDO;INVÁLIDO;Ana Oliveira;INVÁLIDO
26/05/2025;Relógio;Acessórios;1;INVÁLIDO;INVÁLIDO;INVÁLIDO;Danilo Martins;INVÁLIDO
27/05/2025;Sandália;Calçados;1;INVÁLIDO;INVÁLIDO;INVÁLIDO;Paula Lima;INVÁLIDO
28/05/2025;Casaco;Vestuário;2;INVÁLIDO;INVÁLIDO;INVÁLIDO;Paulo Almeida;INVÁLIDO
29/05/2025;Pulseira;Acessórios;1;INVÁLIDO;INVÁLIDO;INVÁLIDO;Mariana Santos;INVÁLIDO
30/05/2025;Chapéu;Vestuário;2;INVÁLIDO;INVÁLIDO;INVÁLIDO;João da Silva;INVÁLIDO
31/05/2025;Carteira;Acessórios;1;INVÁLIDO;INVÁLIDO;INVÁLIDO;Carla Souza;INVÁLIDO
01/06/2025;Meia;Vestuário;10;INVÁLIDO;INVÁLIDO;INVÁLIDO;Ana Oliveira;INVÁLIDO
02/06/2025;Camisa Polo;Vestuário;1;INVÁLIDO;INVÁLIDO;INVÁLIDO;Bruno Costa;INVÁLIDO
03/06/2025;Bolsa;Acessórios;2;INVÁLIDO;INVÁLIDO;INVÁLIDO;Carla Ferreira;INVÁLIDO
04/06/2025;Tênis;Calçados;1;INVÁLIDO;INVÁLIDO;INVÁLIDO;Ana Oliveira;INVÁLIDO
05/06/2025;Cinto;Acessórios;1;INVÁLIDO;INVÁLIDO;INVÁLIDO;Danilo Martins;INVÁLIDO
06/06/2025;Calça Jeans;Vestuário;2;INVÁLIDO;INVÁLIDO;INVÁLIDO;Carla Souza;INVÁLIDO
07/06/2025;Tênis Corrida;Calçados;1;INVÁLIDO;INVÁLIDO;INVÁLIDO;Paulo Almeida;INVÁLIDO
08/06/2025;Relógio;Acessórios;1;INVÁLIDO;INVÁLIDO;INVÁLIDO;Mariana Santos;INVÁLIDO
09/06/2025;Camiseta;Vestuário;5;INVÁLIDO;INVÁLIDO;INVÁLIDO;João da Silva;INVÁLIDO
10/06/2025;Chinelo;Calçados;3;INVÁLIDO;INVÁLIDO;INVÁLIDO;Carla Souza;INVÁLIDO
