data;produto;categoria;quantidade;preco_unitario;cpf;cnpj;vendedor;valor_total
01/08/2025;Camiseta;Vestuário;2;119,90;52998224725;11222333000181;Paulo;
02/08/2025;Tênis Esportivo;Calçados;1;399,90;15350946056;11444777000110;Karla Ferreira;
03/08/2025;Pulseira;Acessórios;5;29,90;11144477735;12345678000195;Carla;
04/08/2025;Carteira;Acessórios;3;89,90;29537910006;27815331000106;Mariana;
05/08/2025;Relógio;Calçados;4;79,90;39053344705;31533086000165;João da Silva;
06/08/2025;Cinto;Vestuário;5;39,90;98765432100;40928723000104;Ana Oliveira;
07/08/2025;Jaqueta;Vestuário;1;239,90;11122233396;51327810000140;Ana Oliveira;
08/08/2025;Meia;Acessórios;6;9,90;76257318062;67138166000100;Carla Ferreira;
09/08/2025;Mochila;Acessórios;2;259,90;39723045040;74567812000160;Carla Ferreira;
10/08/2025;Relógio;Calçados;1;119,90;07656264998;81733642000193;João da Silva;
11/08/2025;Calça Jeans;Vestuário;2;159,90;40713782030;87451236000120;Ana Oliveira;
12/08/2025;Carteira;Acessórios;1;49,90;52998224725;11222333000181;Ana Oliveira;
13/08/2025;Boné;Acessórios;3;29,90;15350946056;11444777000110;Carla Ferreira;
14/08/2025;Camiseta;Vestuário;1;99,90;11144477735;12345678000195;Carla;
15/08/2025;Jaqueta;Vestuário;1;279,90;29537910006;27815331000106;Bruno Costa;
16/08/2025;Mochila;Acessórios;1;299,90;39053344705;31533086000165;Mariana;
17/08/2025;Relógio;Calçados;2;149,90;98765432100;40928723000104;Carla Ferreira;
18/08/2025;Pulseira;Acessórios;3;19,90;11122233396;51327810000140;João da Silva;
19/08/2025;Calça Social;Vestuário;3;219,90;76257318062;67138166000100;Karla Ferreira;
20/08/2025;Carteira;Acessórios;2;59,90;39723045040;74567812000160;Bruno Costa;
21/08/2025;Boné;Acessórios;4;24,90;07656264998;81733642000193;Mariana;
22/08/2025;Relógio;Calçados;1;199,90;40713782030;87451236000120;Mariana;
23/08/2025;Camiseta;Vestuário;2;89,90;52998224725;11222333000181;Carla;
24/08/2025;Tênis Esportivo;Calçados;1;459,90;15350946056;11444777000110;João da Silva;
25/08/2025;Calça Jeans;Vestuário;1;179,90;11144477735;12345678000195;Ana Oliveira;
26/08/2025;Meia;Acessórios;8;8,90;29537910006;27815331000106;Paulo;
27/08/2025;Jaqueta;Vestuário;1;299,90;39053344705;31533086000165;Karla Ferreira;
28/08/2025;Pulseira;Acessórios;6;22,90;98765432100;40928723000104;Carla Ferreira;
29/08/2025;Cinto;Vestuário;4;34,90;11122233396;51327810000140;Ana Oliveira;
30/08/2025;Carteira;Acessórios;2;69,90;76257318062;67138166000100;Bruno Costa;
31/08/2025;Camiseta;Vestuário;3;109,90;39723045040;74567812000160;Mariana;
01/09/2025;Mochila;Acessórios;1;319,90;07656264998;81733642000193;Carla Ferreira;
02/09/2025;Relógio;Acessórios;1;139,90;40713782030;87451236000120;Bruno Costa;
03/09/2025;Calça Social;Vestuário;2;239,90;52998224725;11222333000181;João da Silva;
04/09/2025;Tênis Esportivo;Calçados;1;499,90;15350946056;11444777000110;Carla;
05/09/2025;Camiseta;Vestuário;1;89,90;11144477735;12345678000195;Ana Oliveira;
06/09/2025;Pulseira;Acessórios;5;18,90;29537910006;27815331000106;Paulo;
07/09/2025;Carteira;Acessórios;1;59,90;39053344705;31533086000165;Karla Ferreira;
08/09/2025;Calça Jeans;Vestuário;2;169,90;98765432100;40928723000104;Carla Ferreira;
09/09/2025;Boné;Acessórios;3;34,90;11122233396;51327810000140;João da Silva;
10/09/2025;Mochila;Acessórios;1;289,90;76257318062;67138166000100;Mariana;
